POINTS,EASTING,NORTHING,TYPE
BV1,477954.962,2744486.157,BUTTERFLY VALVE
BV2,477983.703,2744506.411,BUTTERFLY VALVE
BV3,478057.565,2744340.566,BUTTERFLY VALVE
BV4,478064.946,2744336.412,BUTTERFLY VALVE
BV5,478063.679,2744317.301,BUTTERFLY VALVE
BV6,478059.824,2744299.947,BUTTERFLY VALVE
BV7,478085.736,2744285.668,BUTTERFLY VALVE
BV08,478103.576,2744281.693,BUTTERFLY VALVE
BV09,478128.537,2744315.861,BUTTERFLY VALVE
BV10,478123.410,2744344.754,BUTTERFLY VALVE
BV11,478106.157,2744347.237,BUTTERFLY VALVE
BV12,478086.307,2744360.818,BUTTERFLY VALVE
BV13,478669.249,2744395.194,BUTTERFLY VALVE
BV14,478688.669,2744388.824,BUTTERFLY VALVE
BV15,478707.920,2744387.791,BUTTERFLY VALVE
BV16,478711.670,2744394.651,BUTTERFLY VALVE
BV17,478724.041,2744377.115,BUTTERFLY VALVE
BV18,478710.504,2744357.234,BUTTERFLY VALVE
BV19,478710.421,2744336.751,BUTTERFLY VALVE
BV20,478667.926,2744327.036,BUTTERFLY VALVE
BV21,478641.017,2744340.590,BUTTERFLY VALVE
BV22,478645.646,2744358.669,BUTTERFLY VALVE
BV23,478764.376,2744443.511,BUTTERFLY VALVE
BV24,478956.374,2744567.101,BUTTERFLY VALVE
BV25,478968.736,2744549.560,BUTTERFLY VALVE
BV26,478965.807,2744569.222,BUTTERFLY VALVE
BV27,478987.415,2744558.526,BUTTERFLY VALVE
BV28,479005.305,2744560.835,BUTTERFLY VALVE
BV29,479023.310,2744588.790,BUTTERFLY VALVE
BV30,479011.367,2744605.857,BUTTERFLY VALVE
WO1,477987.999,2744439.279,WASHOUT
AV,478084.218,2743660.405,AIR VALVE
MBV1,477917.606,2744540.258,MOTORIZED BUTTERFLY VALVE
MBV2,477926.555,2744527.560,MOTORIZED BUTTERFLY VALVE
MBV3,477933.043,2744524.581,MOTORIZED BUTTERFLY VALVE
MBV4,477933.621,2744517.534,MOTORIZED BUTTERFLY VALVE
MBV5,479049.990,2744607.593,MOTORIZED BUTTERFLY VALVE
MBV6,479052.931,2744614.016,MOTORIZED BUTTERFLY VALVE
MBV7,479060.024,2744614.664,MOTORIZED BUTTERFLY VALVE
MBV8,479072.723,2744623.613,MOTORIZED BUTTERFLY VALVE
FM1,477920.597,2744536.015,FLOW METER
FM2,479068.479,2744620.622,FLOW METER
PRV1,477930.122,2744522.499,PRESSURE REDUCING VALVE
PRV2,479054.960,2744611.102,PRESSURE REDUCING VALVE
